-DOCSTART-	0	0
Ai	0	NA
!	0	NA
		
Laurië	0	NA
lantar	0	NA
lassi	0	NA
súrinen	0	NA
,	0	NA
Yéni	0	NA
únótimë	0	NA
ve	0	NA
rámar	0	NA
aldaron	0	NA
!	0	NA
		
Yéni	0	NA
ve	0	NA
lintë	0	NA
yuldar	0	NA
avánier	0	NA
Mi	0	NA
oromardi	0	NA
lissë-miruvóreva	0	NA
Andúnë	0	NA
pella	0	NA
,	0	NA
Vardo	2	LOC
tellumar	0	NA
Nu	0	NA
luini	0	NA
yassen	0	NA
tintilar	0	NA
i	0	NA
eleni	0	NA
Ómaryo	0	NA
airetári-lírinen	0	NA
.	0	NA
		
Sí	0	NA
man	0	NA
i	0	NA
yulma	0	NA
nin	0	NA
enquantuva	0	NA
?	0	NA
		
An	0	NA
sí	0	NA
Tintallë	0	NA
Varda	1	PERSON
oiolossëo	0	NA
Ve	0	NA
fanyar	0	NA
máryat	0	NA
elentari	0	NA
ortanë	0	NA
Ar	0	NA
ilyë	0	NA
tier	0	NA
undulávë	0	NA
lumbulë	0	NA
;	0	NA
Ar	0	NA
Sindanóriello	2	LOC
caita	0	NA
mornië	0	NA
i	0	NA
falmalinnar	0	NA
imbë	0	NA
met	0	NA
ar	0	NA
hísië	0	NA
Untúpa	0	NA
calaciryo	0	NA
miri	0	NA
oialë	0	NA
.	0	NA
		
Sí	0	NA
vanwa	0	NA
ná	0	NA
,	0	NA
rómello	0	NA
vanwa	0	NA
,	0	NA
Valimar	2	LOC
!	0	NA
		
Namárië	0	NA
!	0	NA
		
Nai	0	NA
hiruvalyë	0	NA
Valimar	2	LOC
,	0	NA
Nai	0	NA
elyë	0	NA
hiruva	0	NA
.	0	NA
		
Namárië	0	NA
!	0	NA
		
-DOCSTART-	0	0
Man	0	NA
cenuva	0	NA
fána	0	NA
cirya	0	NA
métima	0	NA
hrestallo	0	NA
círa	0	NA
,	0	NA
i	0	NA
fairi	0	NA
nécë	0	NA
ringa	0	NA
súmaryassë	0	NA
ve	0	NA
maiwi	0	NA
yaimië	0	NA
?	0	NA
		
Man	0	NA
tiruva	0	NA
fána	0	NA
cirya	0	NA
,	0	NA
wilwarin	0	NA
wilwa	0	NA
,	0	NA
ëar-celumessen	0	NA
rámainen	0	NA
elvië	0	NA
ëar	0	NA
falastala	0	NA
,	0	NA
winga	0	NA
hlápula	0	NA
rámar	0	NA
sisílala	0	NA
,	0	NA
cálë	0	NA
fifírula	0	NA
?	0	NA
		
Man	0	NA
hlaruva	0	NA
rávëa	0	NA
súrë	0	NA
ve	0	NA
tauri	0	NA
lillassië	0	NA
,	0	NA
ninqui	0	NA
carcar	0	NA
yarra	0	NA
isilmë	0	NA
ilcalassë	0	NA
,	0	NA
isilmë	0	NA
pícalassë	0	NA
,	0	NA
isilmë	0	NA
lantalassë	0	NA
ve	0	NA
loicolícuma	0	NA
;	0	NA
raumo	0	NA
nurrua	0	NA
,	0	NA
undumë	0	NA
rúma	0	NA
?	0	NA
		
Man	0	NA
cenuva	0	NA
lumbor	0	NA
ahosta	0	NA
Menel	0	NA
acúna	0	NA
ruxal’	0	NA
ambonnar	0	NA
,	0	NA
ëar	0	NA
amortala	0	NA
,	0	NA
undumë	0	NA
hácala	0	NA
,	0	NA
enwina	0	NA
lúmë	0	NA
elenillor	0	NA
pella	0	NA
talta-taltala	0	NA
atalantëa	0	NA
mindonnar	0	NA
?	0	NA
		
Man	0	NA
tiruva	0	NA
rácina	0	NA
cirya	0	NA
ondolissë	0	NA
mornë	0	NA
nu	0	NA
fanyarë	0	NA
rúcina	0	NA
,	0	NA
anar	0	NA
púrëa	0	NA
tihta	0	NA
axor	0	NA
ilcalannar	0	NA
métim’	0	NA
auressë	0	NA
?	0	NA
		
Man	0	NA
cenuva	0	NA
métim’	0	NA
andúnë	0	NA
?	0	NA
		
-DOCSTART-	0	0
Átaremma	0	NA
i	0	NA
ëa	0	NA
han	0	NA
ëa	0	NA
,	0	NA
na	0	NA
airë	0	NA
esselya	0	NA
,	0	NA
aranielya	0	NA
na	0	NA
tuluva	0	NA
,	0	NA
na	0	NA
carë	0	NA
indómelya	0	NA
cemendë	0	NA
tambë	0	NA
Erumandë	0	NA
.	0	NA
		
Ámen	0	NA
anta	0	NA
síra	0	NA
ilaurëa	0	NA
massamma	0	NA
,	0	NA
ar	0	NA
ámen	0	NA
apsenë	0	NA
úcaremmar	0	NA
sív'	0	NA
emmë	0	NA
apsenet	0	NA
tien	0	NA
i	0	NA
úcarer	0	NA
emmen	0	NA
.	0	NA
		
Álame	0	NA
tulya	0	NA
úsahtienna	0	NA
mal	0	NA
ámë	0	NA
etelehta	0	NA
ulcullo	0	NA
.	0	NA
		
Násië	0	NA
.	0	NA
		
-DOCSTART-	0	0
-DOCSTART-	0	0
Heru	1	PERSON
órava	0	NA
omesse	0	NA
.	0	NA
		
A	0	NA
Hrísto	0	NA
órava	0	NA
omesse	0	NA
.	0	NA
		
Atar	0	NA
meneldea	0	NA
Eru	1	PERSON
órava	0	NA
omesse	0	NA
.	0	NA
		
A	0	NA
Eruion	0	NA
Mardorunando	1	PERSON
Eru	1	PERSON
órava	0	NA
omesse	0	NA
.	0	NA
		
A	0	NA
Aina	0	NA
Faire	0	NA
Eru	1	PERSON
órava	0	NA
omesse	0	NA
.	0	NA
		
A	0	NA
Aina	0	NA
Neldie	0	NA
Eru	1	PERSON
Er	0	NA
órava	0	NA
